Date,Team 1,FT,Team 2
Sat Dec 26 1953,Aston Villa,1-2,Wolverhampton Wanderers
Sat Dec 26 1953,Chelsea,2-0,Cardiff City
Sat Dec 26 1953,Sheffield Wednesday,0-1,Manchester United
Sat Dec 26 1953,Manchester City,2-1,Sheffield United
Mon Dec 28 1953,Arsenal,1-1,Blackpool
Mon Dec 28 1953,Cardiff City,0-0,Chelsea
Fri Jan 1 1954,Sunderland,2-0,Aston Villa
Fri Jan 1 1954,Bolton Wanderers,2-1,Sheffield United
Fri Jan 1 1954,Newcastle United,2-1,Blackpool
Sat Jan 2 1954,Liverpool,1-2,Bolton Wanderers
Sat Jan 2 1954,Middlesbrough,3-0,Tottenham Hotspur
Sat Jan 2 1954,Blackpool,2-2,Sheffield United
Sat Jan 2 1954,West Bromwich Albion,3-2,Preston North End
Sat Jan 2 1954,Sheffield Wednesday,2-0,Burnley
Sat Jan 2 1954,Portsmouth,5-2,Huddersfield Town
Sat Jan 2 1954,Cardiff City,1-3,Wolverhampton Wanderers
Sat Jan 2 1954,Manchester City,2-1,Sunderland
Sat Jan 2 1954,Newcastle United,1-2,Manchester United
Sat Jan 2 1954,Charlton Athletic,1-1,Chelsea
Sat Jan 16 1954,Aston Villa,1-1,Portsmouth
Sat Jan 16 1954,Manchester United,1-1,Manchester City
Sat Jan 16 1954,Wolverhampton Wanderers,0-2,Arsenal
Sat Jan 16 1954,Burnley,5-0,Middlesbrough
Sat Jan 16 1954,Tottenham Hotspur,0-1,West Bromwich Albion
Sat Jan 16 1954,Preston North End,2-1,Liverpool
Sat Jan 16 1954,Huddersfield Town,0-0,Blackpool
Sat Jan 16 1954,Bolton Wanderers,2-2,Newcastle United
Sat Jan 16 1954,Charlton Athletic,4-2,Sheffield Wednesday
Sat Jan 16 1954,Sunderland,5-0,Cardiff City
Sat Jan 16 1954,Sheffield United,1-3,Chelsea
Sat Jan 23 1954,West Bromwich Albion,0-0,Burnley
Sat Jan 23 1954,Middlesbrough,0-2,Charlton Athletic
Sat Jan 23 1954,Sheffield Wednesday,3-2,Sheffield United
Sat Jan 23 1954,Portsmouth,2-0,Wolverhampton Wanderers
Sat Jan 23 1954,Liverpool,2-2,Tottenham Hotspur
Sat Jan 23 1954,Chelsea,2-2,Huddersfield Town
Sat Jan 23 1954,Blackpool,3-2,Aston Villa
Sat Jan 23 1954,Newcastle United,0-4,Preston North End
Sat Jan 23 1954,Manchester United,1-5,Bolton Wanderers
Sat Jan 23 1954,Arsenal,1-4,Sunderland
Sat Jan 23 1954,Cardiff City,0-3,Manchester City
Sat Feb 6 1954,Charlton Athletic,1-1,West Bromwich Albion
Sat Feb 6 1954,Bolton Wanderers,3-0,Cardiff City
Sat Feb 6 1954,Manchester City,0-0,Arsenal
Sat Feb 6 1954,Sheffield Wednesday,4-2,Middlesbrough
Sat Feb 6 1954,Wolverhampton Wanderers,4-1,Blackpool
Sat Feb 6 1954,Huddersfield Town,2-2,Sheffield United
Sat Feb 6 1954,Sunderland,3-1,Portsmouth
Sat Feb 6 1954,Aston Villa,2-2,Chelsea
Sat Feb 6 1954,Tottenham Hotspur,3-0,Newcastle United
Sat Feb 6 1954,Burnley,1-1,Liverpool
Sat Feb 6 1954,Preston North End,1-3,Manchester United
Sat Feb 13 1954,Liverpool,2-3,Charlton Athletic
Sat Feb 13 1954,Newcastle United,3-1,Burnley
Sat Feb 13 1954,Middlesbrough,0-3,Huddersfield Town
Sat Feb 13 1954,Blackpool,3-0,Sunderland
Sat Feb 13 1954,West Bromwich Albion,4-2,Sheffield Wednesday
Sat Feb 13 1954,Chelsea,4-2,Wolverhampton Wanderers
Sat Feb 13 1954,Arsenal,1-1,Cardiff City
Sat Feb 13 1954,Bolton Wanderers,0-2,Preston North End
Sat Feb 13 1954,Portsmouth,4-1,Manchester City
Sat Feb 13 1954,Manchester United,2-0,Tottenham Hotspur
Sat Feb 20 1954,Aston Villa,2-2,Huddersfield Town
Sat Feb 20 1954,Burnley,2-0,Manchester United
Sat Feb 20 1954,Wolverhampton Wanderers,6-1,Sheffield United
Sat Feb 20 1954,Sunderland,1-2,Chelsea
Wed Feb 24 1954,Preston North End,0-1,Arsenal
Wed Feb 24 1954,Manchester City,1-4,Blackpool
Wed Feb 24 1954,Middlesbrough,1-1,West Bromwich Albion
Wed Feb 24 1954,Sheffield Wednesday,1-1,Liverpool
Thu Feb 25 1954,Charlton Athletic,0-0,Newcastle United
Sat Feb 27 1954,Sheffield United,2-2,Middlesbrough
Sat Feb 27 1954,Blackpool,3-1,Charlton Athletic
Sat Feb 27 1954,Arsenal,0-3,Tottenham Hotspur
Sat Feb 27 1954,Sunderland,0-2,Manchester United
Sat Feb 27 1954,Chelsea,0-1,Sheffield Wednesday
Sat Feb 27 1954,Wolverhampton Wanderers,3-2,Newcastle United
Sat Feb 27 1954,Aston Villa,2-1,Liverpool
Sat Feb 27 1954,Huddersfield Town,0-2,West Bromwich Albion
Sat Feb 27 1954,Cardiff City,2-1,Preston North End
Sat Feb 27 1954,Manchester City,3-0,Bolton Wanderers
Sat Feb 27 1954,Portsmouth,3-2,Burnley
Wed Mar 3 1954,Cardiff City,3-2,Portsmouth
Wed Mar 3 1954,Tottenham Hotspur,3-2,Bolton Wanderers
Sat Mar 6 1954,Newcastle United,0-1,Aston Villa
Sat Mar 6 1954,Burnley,2-1,Arsenal
Sat Mar 6 1954,West Bromwich Albion,2-2,Sheffield United
Sat Mar 6 1954,Manchester United,1-0,Wolverhampton Wanderers
Sat Mar 6 1954,Tottenham Hotspur,0-1,Cardiff City
Sat Mar 6 1954,Middlesbrough,3-3,Chelsea
Sat Mar 6 1954,Bolton Wanderers,3-1,Sunderland
Sat Mar 6 1954,Preston North End,4-0,Manchester City
Sat Mar 6 1954,Sheffield Wednesday,1-2,Blackpool
Sat Mar 6 1954,Liverpool,1-3,Huddersfield Town
Sat Mar 6 1954,Charlton Athletic,3-1,Portsmouth
Sat Mar 13 1954,Cardiff City,1-0,Burnley
Sat Mar 13 1954,Blackpool,0-0,Middlesbrough
Sat Mar 13 1954,Arsenal,3-3,Charlton Athletic
Sat Mar 13 1954,Sheffield United,3-1,Liverpool
Sat Mar 13 1954,Aston Villa,2-2,Manchester United
Sat Mar 13 1954,Huddersfield Town,3-2,Newcastle United
Wed Mar 17 1954,Manchester City,4-1,Tottenham Hotspur
Wed Mar 17 1954,Chelsea,5-0,West Bromwich Albion
Sat Mar 20 1954,Burnley,3-1,Manchester City
Sat Mar 20 1954,Tottenham Hotspur,0-3,Sunderland
Sat Mar 20 1954,Preston North End,0-1,Wolverhampton Wanderers
Sat Mar 20 1954,Middlesbrough,2-2,Portsmouth
Sat Mar 20 1954,Manchester United,3-1,Huddersfield Town
Sat Mar 20 1954,Charlton Athletic,3-2,Cardiff City
Sat Mar 20 1954,Newcastle United,4-1,Sheffield United
Sat Mar 20 1954,Bolton Wanderers,3-0,Aston Villa
Sat Mar 20 1954,Liverpool,1-1,Chelsea
Sat Mar 20 1954,West Bromwich Albion,2-1,Blackpool
Sat Mar 20 1954,Sheffield Wednesday,2-1,Arsenal
